wojewodztwo;powiat_miasto;teryt;strefa
dolnoœl¹skie;boles³awiecki;t0201;2
dolnoœl¹skie;dzier¿oniowski;t0202;2
dolnoœl¹skie;g³ogowski;t0203;2
dolnoœl¹skie;górowski;t0204;2
dolnoœl¹skie;jaworski;t0205;2
dolnoœl¹skie;jeleniogórski;t0206;2
dolnoœl¹skie;kamiennogórski;t0207;2
dolnoœl¹skie;k³odzki;t0208;2
dolnoœl¹skie;legnicki;t0209;2
dolnoœl¹skie;lubañski;t0210;2
dolnoœl¹skie;lubiñski;t0211;2
dolnoœl¹skie;lwówecki;t0212;2
dolnoœl¹skie;milicki;t0213;2
dolnoœl¹skie;oleœnicki;t0214;2
dolnoœl¹skie;o³awski;t0215;2
dolnoœl¹skie;polkowicki;t0216;2
dolnoœl¹skie;strzeliñski;t0217;2
dolnoœl¹skie;œredzki;t0218;2
dolnoœl¹skie;œwidnicki;t0219;2
dolnoœl¹skie;trzebnicki;t0220;2
dolnoœl¹skie;wa³brzyski;t0221;2
dolnoœl¹skie;wo³owski;t0222;2
dolnoœl¹skie;wroc³awski;t0223;2
dolnoœl¹skie;z¹bkowicki;t0224;2
dolnoœl¹skie;zgorzelecki;t0225;2
dolnoœl¹skie;z³otoryjski;t0226;2
dolnoœl¹skie;m. Jelenia Góra;t0261;2
dolnoœl¹skie;m. Legnica;t0262;2
dolnoœl¹skie;m. Wroc³aw;t0264;2
dolnoœl¹skie;m. Wa³brzych;t0265;2
kujawsko-pomorskie;aleksandrowski;t0401;2
kujawsko-pomorskie;brodnicki;t0402;2
kujawsko-pomorskie;bydgoski;t0403;2
kujawsko-pomorskie;che³miñski;t0404;2
kujawsko-pomorskie;golubsko-dobrzyñski;t0405;2
kujawsko-pomorskie;grudzi¹dzki;t0406;2
kujawsko-pomorskie;inowroc³awski;t0407;2
kujawsko-pomorskie;lipnowski;t0408;2
kujawsko-pomorskie;mogileñski;t0409;2
kujawsko-pomorskie;nakielski;t0410;2
kujawsko-pomorskie;radziejowski;t0411;2
kujawsko-pomorskie;rypiñski;t0412;2
kujawsko-pomorskie;sêpoleñski;t0413;2
kujawsko-pomorskie;œwiecki;t0414;2
kujawsko-pomorskie;toruñski;t0415;2
kujawsko-pomorskie;tucholski;t0416;2
kujawsko-pomorskie;w¹brzeski;t0417;2
kujawsko-pomorskie;w³oc³awski;t0418;2
kujawsko-pomorskie;¿niñski;t0419;2
kujawsko-pomorskie;m. Bydgoszcz;t0461;2
kujawsko-pomorskie;m. Grudzi¹dz;t0462;2
kujawsko-pomorskie;m. Toruñ;t0463;2
kujawsko-pomorskie;m. W³oc³awek;t0464;2
lubelskie;bialski;t0601;2
lubelskie;bi³gorajski;t0602;2
lubelskie;che³mski;t0603;2
lubelskie;hrubieszowski;t0604;2
lubelskie;janowski;t0605;2
lubelskie;krasnostawski;t0606;2
lubelskie;kraœnicki;t0607;2
lubelskie;lubartowski;t0608;2
lubelskie;lubelski;t0609;2
lubelskie;³êczyñski;t0610;2
lubelskie;³ukowski;t0611;2
lubelskie;opolski;t0612;2
lubelskie;parczewski;t0613;2
lubelskie;pu³awski;t0614;2
lubelskie;radzyñski;t0615;2
lubelskie;rycki;t0616;2
lubelskie;œwidnicki;t0617;2
lubelskie;tomaszowski;t0618;2
lubelskie;w³odawski;t0619;2
lubelskie;zamojski;t0620;2
lubelskie;m. Bia³a Podlaska;t0661;2
lubelskie;m. Che³m;t0662;2
lubelskie;m. Lublin;t0663;2
lubelskie;m. Zamoœæ;t0664;2
lubuskie;gorzowski;t0801;2
lubuskie;kroœnieñski;t0802;2
lubuskie;miêdzyrzecki;t0803;2
lubuskie;nowosolski;t0804;2
lubuskie;s³ubicki;t0805;2
lubuskie;strzelecko-drezdenecki;t0806;2
lubuskie;sulêciñski;t0807;2
lubuskie;œwiebodziñski;t0808;2
lubuskie;zielonogórski;t0809;2
lubuskie;¿agañski;t0810;2
lubuskie;¿arski;t0811;2
lubuskie;wschowski;t0812;2
lubuskie;m. Gorzów Wielkopolski;t0861;2
lubuskie;m. Zielona Góra;t0862;2
³ódzkie;be³chatowski;t1001;2
³ódzkie;kutnowski;t1002;2
³ódzkie;³aski;t1003;2
³ódzkie;³êczycki;t1004;2
³ódzkie;³owicki;t1005;2
³ódzkie;³ódzki wschodni;t1006;2
³ódzkie;opoczyñski;t1007;2
³ódzkie;pabianicki;t1008;2
³ódzkie;pajêczañski;t1009;2
³ódzkie;piotrkowski;t1010;2
³ódzkie;poddêbicki;t1011;2
³ódzkie;radomszczañski;t1012;2
³ódzkie;rawski;t1013;2
³ódzkie;sieradzki;t1014;2
³ódzkie;skierniewicki;t1015;2
³ódzkie;tomaszowski;t1016;2
³ódzkie;wieluñski;t1017;2
³ódzkie;wieruszowski;t1018;2
³ódzkie;zduñskowolski;t1019;2
³ódzkie;zgierski;t1020;2
³ódzkie;brzeziñski;t1021;2
³ódzkie;m. £ódŸ;t1061;2
³ódzkie;m. Piotrków Trybunalski;t1062;2
³ódzkie;m. Skierniewice;t1063;2
ma³opolskie;bocheñski;t1201;2
ma³opolskie;brzeski;t1202;2
ma³opolskie;chrzanowski;t1203;2
ma³opolskie;d¹browski;t1204;2
ma³opolskie;gorlicki;t1205;2
ma³opolskie;krakowski;t1206;2
ma³opolskie;limanowski;t1207;2
ma³opolskie;miechowski;t1208;2
ma³opolskie;myœlenicki;t1209;2
ma³opolskie;nowos¹decki;t1210;2
ma³opolskie;nowotarski;t1211;2
ma³opolskie;olkuski;t1212;2
ma³opolskie;oœwiêcimski;t1213;2
ma³opolskie;proszowicki;t1214;2
ma³opolskie;suski;t1215;2
ma³opolskie;tarnowski;t1216;2
ma³opolskie;tatrzañski;t1217;2
ma³opolskie;wadowicki;t1218;2
ma³opolskie;wielicki;t1219;2
ma³opolskie;m. Kraków;t1261;2
ma³opolskie;m. Nowy S¹cz;t1262;2
ma³opolskie;m. Tarnów;t1263;2
mazowieckie;bia³obrzeski;t1401;2
mazowieckie;ciechanowski;t1402;2
mazowieckie;garwoliñski;t1403;2
mazowieckie;gostyniñski;t1404;2
mazowieckie;grodziski;t1405;2
mazowieckie;grójecki;t1406;2
mazowieckie;kozienicki;t1407;2
mazowieckie;legionowski;t1408;2
mazowieckie;lipski;t1409;2
mazowieckie;³osicki;t1410;2
mazowieckie;makowski;t1411;2
mazowieckie;miñski;t1412;2
mazowieckie;m³awski;t1413;2
mazowieckie;nowodworski;t1414;2
mazowieckie;ostro³êcki;t1415;2
mazowieckie;ostrowski;t1416;2
mazowieckie;otwocki;t1417;2
mazowieckie;piaseczyñski;t1418;2
mazowieckie;p³ocki;t1419;2
mazowieckie;p³oñski;t1420;2
mazowieckie;pruszkowski;t1421;2
mazowieckie;przasnyski;t1422;2
mazowieckie;przysuski;t1423;2
mazowieckie;pu³tuski;t1424;2
mazowieckie;radomski;t1425;2
mazowieckie;siedlecki;t1426;2
mazowieckie;sierpecki;t1427;2
mazowieckie;sochaczewski;t1428;2
mazowieckie;soko³owski;t1429;2
mazowieckie;szyd³owiecki;t1430;2
mazowieckie;warszawski zachodni;t1432;2
mazowieckie;wêgrowski;t1433;2
mazowieckie;wo³omiñski;t1434;2
mazowieckie;wyszkowski;t1435;2
mazowieckie;zwoleñski;t1436;2
mazowieckie;¿uromiñski;t1437;2
mazowieckie;¿yrardowski;t1438;2
mazowieckie;m. Ostro³êka;t1461;2
mazowieckie;m. P³ock;t1462;2
mazowieckie;m. Radom;t1463;2
mazowieckie;m. Siedlce;t1464;2
mazowieckie;m. st. Warszawa;t1465;2
opolskie;brzeski;t1601;2
opolskie;g³ubczycki;t1602;2
opolskie;kêdzierzyñsko-kozielski;t1603;2
opolskie;kluczborski;t1604;2
opolskie;krapkowicki;t1605;2
opolskie;namys³owski;t1606;2
opolskie;nyski;t1607;2
opolskie;oleski;t1608;2
opolskie;opolski;t1609;2
opolskie;prudnicki;t1610;2
opolskie;strzelecki;t1611;2
opolskie;m. Opole;t1661;2
podkarpackie;bieszczadzki;t1801;2
podkarpackie;brzozowski;t1802;2
podkarpackie;dêbicki;t1803;2
podkarpackie;jaros³awski;t1804;2
podkarpackie;jasielski;t1805;2
podkarpackie;kolbuszowski;t1806;2
podkarpackie;kroœnieñski;t1807;2
podkarpackie;le¿ajski;t1808;2
podkarpackie;lubaczowski;t1809;2
podkarpackie;³añcucki;t1810;2
podkarpackie;mielecki;t1811;2
podkarpackie;ni¿añski;t1812;2
podkarpackie;przemyski;t1813;2
podkarpackie;przeworski;t1814;2
podkarpackie;ropczycko-sêdziszowski;t1815;2
podkarpackie;rzeszowski;t1816;2
podkarpackie;sanocki;t1817;2
podkarpackie;stalowowolski;t1818;2
podkarpackie;strzy¿owski;t1819;2
podkarpackie;tarnobrzeski;t1820;2
podkarpackie;leski;t1821;2
podkarpackie;m. Krosno;t1861;2
podkarpackie;m. Przemyœl;t1862;2
podkarpackie;m. Rzeszów;t1863;2
podkarpackie;m. Tarnobrzeg;t1864;2
podlaskie;augustowski;t2001;2
podlaskie;bia³ostocki;t2002;2
podlaskie;bielski;t2003;2
podlaskie;grajewski;t2004;2
podlaskie;hajnowski;t2005;2
podlaskie;kolneñski;t2006;2
podlaskie;³om¿yñski;t2007;2
podlaskie;moniecki;t2008;2
podlaskie;sejneñski;t2009;2
podlaskie;siemiatycki;t2010;2
podlaskie;sokólski;t2011;2
podlaskie;suwalski;t2012;2
podlaskie;wysokomazowiecki;t2013;2
podlaskie;zambrowski;t2014;2
podlaskie;m. Bia³ystok;t2061;2
podlaskie;m. £om¿a;t2062;2
podlaskie;m. Suwa³ki;t2063;2
pomorskie;bytowski;t2201;2
pomorskie;chojnicki;t2202;2
pomorskie;cz³uchowski;t2203;2
pomorskie;gdañski;t2204;2
pomorskie;kartuski;t2205;2
pomorskie;koœcierski;t2206;2
pomorskie;kwidzyñski;t2207;2
pomorskie;lêborski;t2208;2
pomorskie;malborski;t2209;2
pomorskie;nowodworski;t2210;2
pomorskie;pucki;t2211;2
pomorskie;s³upski;t2212;2
pomorskie;starogardzki;t2213;2
pomorskie;tczewski;t2214;2
pomorskie;wejherowski;t2215;2
pomorskie;sztumski;t2216;2
pomorskie;m. Gdañsk;t2261;2
pomorskie;m. Gdynia;t2262;2
pomorskie;m. S³upsk;t2263;2
pomorskie;m. Sopot;t2264;2
œl¹skie;bêdziñski;t2401;2
œl¹skie;bielski;t2402;2
œl¹skie;cieszyñski;t2403;2
œl¹skie;czêstochowski;t2404;2
œl¹skie;gliwicki;t2405;2
œl¹skie;k³obucki;t2406;2
œl¹skie;lubliniecki;t2407;2
œl¹skie;miko³owski;t2408;2
œl¹skie;myszkowski;t2409;2
œl¹skie;pszczyñski;t2410;2
œl¹skie;raciborski;t2411;2
œl¹skie;rybnicki;t2412;2
œl¹skie;tarnogórski;t2413;2
œl¹skie;bieruñsko-lêdziñski;t2414;2
œl¹skie;wodzis³awski;t2415;2
œl¹skie;zawierciañski;t2416;2
œl¹skie;¿ywiecki;t2417;2
œl¹skie;m. Bielsko-Bia³a;t2461;2
œl¹skie;m. Bytom;t2462;2
œl¹skie;m. Chorzów;t2463;2
œl¹skie;m. Czêstochowa;t2464;2
œl¹skie;m. D¹browa Górnicza;t2465;2
œl¹skie;m. Gliwice;t2466;2
œl¹skie;m. Jastrzêbie-Zdrój;t2467;2
œl¹skie;m. Jaworzno;t2468;2
œl¹skie;m. Katowice;t2469;2
œl¹skie;m. Mys³owice;t2470;2
œl¹skie;m. Piekary Œl¹skie;t2471;2
œl¹skie;m. Ruda Œl¹ska;t2472;2
œl¹skie;m. Rybnik;t2473;2
œl¹skie;m. Siemianowice Œl¹skie;t2474;2
œl¹skie;m. Sosnowiec;t2475;2
œl¹skie;m. Œwiêtoch³owice;t2476;2
œl¹skie;m. Tychy;t2477;2
œl¹skie;m. Zabrze;t2478;2
œl¹skie;m. ¯ory;t2479;2
œwiêtokrzyskie;buski;t2601;2
œwiêtokrzyskie;jêdrzejowski;t2602;2
œwiêtokrzyskie;kazimierski;t2603;2
œwiêtokrzyskie;kielecki;t2604;2
œwiêtokrzyskie;konecki;t2605;2
œwiêtokrzyskie;opatowski;t2606;2
œwiêtokrzyskie;ostrowiecki;t2607;2
œwiêtokrzyskie;piñczowski;t2608;2
œwiêtokrzyskie;sandomierski;t2609;2
œwiêtokrzyskie;skar¿yski;t2610;2
œwiêtokrzyskie;starachowicki;t2611;2
œwiêtokrzyskie;staszowski;t2612;2
œwiêtokrzyskie;w³oszczowski;t2613;2
œwiêtokrzyskie;m. Kielce;t2661;2
warmiñsko-mazurskie;bartoszycki;t2801;2
warmiñsko-mazurskie;braniewski;t2802;2
warmiñsko-mazurskie;dzia³dowski;t2803;2
warmiñsko-mazurskie;elbl¹ski;t2804;2
warmiñsko-mazurskie;e³cki;t2805;2
warmiñsko-mazurskie;gi¿ycki;t2806;2
warmiñsko-mazurskie;i³awski;t2807;2
warmiñsko-mazurskie;kêtrzyñski;t2808;2
warmiñsko-mazurskie;lidzbarski;t2809;2
warmiñsko-mazurskie;mr¹gowski;t2810;2
warmiñsko-mazurskie;nidzicki;t2811;2
warmiñsko-mazurskie;nowomiejski;t2812;2
warmiñsko-mazurskie;olecki;t2813;2
warmiñsko-mazurskie;olsztyñski;t2814;2
warmiñsko-mazurskie;ostródzki;t2815;2
warmiñsko-mazurskie;piski;t2816;2
warmiñsko-mazurskie;szczycieñski;t2817;2
warmiñsko-mazurskie;go³dapski;t2818;2
warmiñsko-mazurskie;wêgorzewski;t2819;2
warmiñsko-mazurskie;m. Elbl¹g;t2861;2
warmiñsko-mazurskie;m. Olsztyn;t2862;2
wielkopolskie;chodzieski;t3001;2
wielkopolskie;czarnkowsko-trzcianecki;t3002;2
wielkopolskie;gnieŸnieñski;t3003;2
wielkopolskie;gostyñski;t3004;2
wielkopolskie;grodziski;t3005;2
wielkopolskie;jarociñski;t3006;2
wielkopolskie;kaliski;t3007;2
wielkopolskie;kêpiñski;t3008;2
wielkopolskie;kolski;t3009;2
wielkopolskie;koniñski;t3010;2
wielkopolskie;koœciañski;t3011;2
wielkopolskie;krotoszyñski;t3012;2
wielkopolskie;leszczyñski;t3013;2
wielkopolskie;miêdzychodzki;t3014;2
wielkopolskie;nowotomyski;t3015;2
wielkopolskie;obornicki;t3016;2
wielkopolskie;ostrowski;t3017;2
wielkopolskie;ostrzeszowski;t3018;2
wielkopolskie;pilski;t3019;2
wielkopolskie;pleszewski;t3020;2
wielkopolskie;poznañski;t3021;2
wielkopolskie;rawicki;t3022;2
wielkopolskie;s³upecki;t3023;2
wielkopolskie;szamotulski;t3024;2
wielkopolskie;œredzki;t3025;2
wielkopolskie;œremski;t3026;2
wielkopolskie;turecki;t3027;2
wielkopolskie;w¹growiecki;t3028;2
wielkopolskie;wolsztyñski;t3029;2
wielkopolskie;wrzesiñski;t3030;2
wielkopolskie;z³otowski;t3031;2
wielkopolskie;m. Kalisz;t3061;2
wielkopolskie;m. Konin;t3062;2
wielkopolskie;m. Leszno;t3063;2
wielkopolskie;m. Poznañ;t3064;2
zachodniopomorskie;bia³ogardzki;t3201;2
zachodniopomorskie;choszczeñski;t3202;2
zachodniopomorskie;drawski;t3203;2
zachodniopomorskie;goleniowski;t3204;2
zachodniopomorskie;gryficki;t3205;2
zachodniopomorskie;gryfiñski;t3206;2
zachodniopomorskie;kamieñski;t3207;2
zachodniopomorskie;ko³obrzeski;t3208;2
zachodniopomorskie;koszaliñski;t3209;2
zachodniopomorskie;myœliborski;t3210;2
zachodniopomorskie;policki;t3211;2
zachodniopomorskie;pyrzycki;t3212;2
zachodniopomorskie;s³awieñski;t3213;2
zachodniopomorskie;stargardzki;t3214;2
zachodniopomorskie;szczecinecki;t3215;2
zachodniopomorskie;œwidwiñski;t3216;2
zachodniopomorskie;wa³ecki;t3217;2
zachodniopomorskie;³obeski;t3218;2
zachodniopomorskie;m. Koszalin;t3261;2
zachodniopomorskie;m. Szczecin;t3262;2
zachodniopomorskie;m. Œwinoujœcie;t3263;2