dolnoœl¹skie;boles³awiecki;t0201;308
dolnoœl¹skie;dzier¿oniowski;t0202;241
dolnoœl¹skie;g³ogowski;t0203;242
dolnoœl¹skie;górowski;t0204;270
dolnoœl¹skie;jaworski;t0205;218
dolnoœl¹skie;karkonoski;t0206;306
dolnoœl¹skie;kamiennogórski;t0207;219
dolnoœl¹skie;k³odzki;t0208;309
dolnoœl¹skie;legnicki;t0209;325
dolnoœl¹skie;lubañski;t0210;311
dolnoœl¹skie;lubiñski;t0211;326
dolnoœl¹skie;lwówecki;t0212;327
dolnoœl¹skie;milicki;t0213;322
dolnoœl¹skie;oleœnicki;t0214;307
dolnoœl¹skie;o³awski;t0215;319
dolnoœl¹skie;polkowicki;t0216;320
dolnoœl¹skie;strzeliñski;t0217;323
dolnoœl¹skie;œredzki;t0218;321
dolnoœl¹skie;œwidnicki;t0219;324
dolnoœl¹skie;trzebnicki;t0220;374
dolnoœl¹skie;wa³brzyski;t0221;341
dolnoœl¹skie;wo³owski;t0222;314
dolnoœl¹skie;wroc³awski;t0223;316
dolnoœl¹skie;z¹bkowicki;t0224;375
dolnoœl¹skie;zgorzelecki;t0225;245
dolnoœl¹skie;z³otoryjski;t0226;304
dolnoœl¹skie;m. Jelenia Góra;t0261;237
dolnoœl¹skie;m. Legnica;t0262;305
dolnoœl¹skie;m. Wroc³aw;t0264;221
dolnoœl¹skie;m. Wa³brzych;t0265;380
kujawsko-pomorskie;aleksandrowski;t0401;315
kujawsko-pomorskie;brodnicki;t0402;317
kujawsko-pomorskie;bydgoski;t0403;318
kujawsko-pomorskie;che³miñski;t0404;379
kujawsko-pomorskie;golubsko-dobrzyñski;t0405;310
kujawsko-pomorskie;grudzi¹dzki;t0406;312
kujawsko-pomorskie;inowroc³awski;t0407;313
kujawsko-pomorskie;lipnowski;t0408;328
kujawsko-pomorskie;mogileñski;t0409;377
kujawsko-pomorskie;nakielski;t0410;339
kujawsko-pomorskie;radziejowski;t0411;338
kujawsko-pomorskie;rypiñski;t0412;340
kujawsko-pomorskie;sêpoleñski;t0413;376
kujawsko-pomorskie;œwiecki;t0414;331
kujawsko-pomorskie;toruñski;t0415;332
kujawsko-pomorskie;tucholski;t0416;378
kujawsko-pomorskie;w¹brzeski;t0417;329
kujawsko-pomorskie;w³oc³awski;t0418;330
kujawsko-pomorskie;¿niñski;t0419;333
kujawsko-pomorskie;m. Bydgoszcz;t0461;334
kujawsko-pomorskie;m. Grudzi¹dz;t0462;335
kujawsko-pomorskie;m. Toruñ;t0463;336
kujawsko-pomorskie;m. W³oc³awek;t0464;337
lubelskie;bialski;t0601;43
lubelskie;bi³gorajski;t0602;44
lubelskie;che³mski;t0603;45
lubelskie;hrubieszowski;t0604;46
lubelskie;janowski;t0605;47
lubelskie;krasnostawski;t0606;48
lubelskie;kraœnicki;t0607;49
lubelskie;lubartowski;t0608;50
lubelskie;lubelski;t0609;51
lubelskie;³êczyñski;t0610;52
lubelskie;³ukowski;t0611;53
lubelskie;opolski;t0612;54
lubelskie;parczewski;t0613;55
lubelskie;pu³awski;t0614;56
lubelskie;radzyñski;t0615;57
lubelskie;rycki;t0616;58
lubelskie;œwidnicki;t0617;59
lubelskie;tomaszowski;t0618;60
lubelskie;w³odawski;t0619;62
lubelskie;zamojski;t0620;63
lubelskie;m. Bia³a Podlaska;t0661;61
lubelskie;m. Che³m;t0662;65
lubelskie;m. Lublin;t0663;64
lubelskie;m. Zamoœæ;t0664;66
lubuskie;gorzowski;t0801;108
lubuskie;kroœnieñski;t0802;109
lubuskie;miêdzyrzecki;t0803;110
lubuskie;nowosolski;t0804;111
lubuskie;s³ubicki;t0805;112
lubuskie;strzelecko-drezdenecki;t0806;113
lubuskie;sulêciñski;t0807;114
lubuskie;œwiebodziñski;t0808;115
lubuskie;zielonogórski;t0809;342
lubuskie;¿agañski;t0810;116
lubuskie;¿arski;t0811;105
lubuskie;wschowski;t0812;358
lubuskie;m. Gorzów Wielkopolski;t0861;107
lubuskie;m. Zielona Góra;t0862;106
³ódzkie;be³chatowski;t1001;86
³ódzkie;kutnowski;t1002;87
³ódzkie;³aski;t1003;88
³ódzkie;³êczycki;t1004;89
³ódzkie;³owicki;t1005;90
³ódzkie;³ódzki wschodni;t1006;91
³ódzkie;opoczyñski;t1007;92
³ódzkie;pabianicki;t1008;93
³ódzkie;pajêczañski;t1009;94
³ódzkie;piotrkowski;t1010;95
³ódzkie;poddêbicki;t1011;355
³ódzkie;radomszczañski;t1012;96
³ódzkie;rawski;t1013;356
³ódzkie;sieradzki;t1014;97
³ódzkie;skierniewicki;t1015;357
³ódzkie;tomaszowski;t1016;98
³ódzkie;wieluñski;t1017;99
³ódzkie;wieruszowski;t1018;101
³ódzkie;zduñskowolski;t1019;100
³ódzkie;zgierski;t1020;102
³ódzkie;brzeziñski;t1021;103
³ódzkie;m. £ódŸ;t1061;104
³ódzkie;m. Piotrków Trybunalski;t1062;84
³ódzkie;m. Skierniewice;t1063;85
ma³opolskie;bocheñski;t1201;68
ma³opolskie;brzeski;t1202;67
ma³opolskie;chrzanowski;t1203;69
ma³opolskie;d¹browski;t1204;350
ma³opolskie;gorlicki;t1205;70
ma³opolskie;krakowski;t1206;71
ma³opolskie;limanowski;t1207;351
ma³opolskie;miechowski;t1208;72
ma³opolskie;myœlenicki;t1209;73
ma³opolskie;nowos¹decki;t1210;74
ma³opolskie;nowotarski;t1211;75
ma³opolskie;olkuski;t1212;76
ma³opolskie;oœwiêcimski;t1213;77
ma³opolskie;proszowicki;t1214;352
ma³opolskie;suski;t1215;353
ma³opolskie;tarnowski;t1216;78
ma³opolskie;tatrzañski;t1217;354
ma³opolskie;wadowicki;t1218;79
ma³opolskie;wielicki;t1219;81
ma³opolskie;m. Kraków;t1261;82
ma³opolskie;m. Nowy S¹cz;t1262;83
ma³opolskie;m. Tarnów;t1263;80
mazowieckie;bia³obrzeski;t1401;347
mazowieckie;ciechanowski;t1402;33
mazowieckie;garwoliñski;t1403;34
mazowieckie;gostyniñski;t1404;35
mazowieckie;grodziski;t1405;348
mazowieckie;grójecki;t1406;36
mazowieckie;kozienicki;t1407;37
mazowieckie;legionowski;t1408;38
mazowieckie;lipski;t1409;39
mazowieckie;³osicki;t1410;14
mazowieckie;makowski;t1411;126
mazowieckie;miñski;t1412;23
mazowieckie;m³awski;t1413;24
mazowieckie;nowodworski;t1414;15
mazowieckie;ostro³êcki;t1415;344
mazowieckie;ostrowski;t1416;16
mazowieckie;otwocki;t1417;17
mazowieckie;piaseczyñski;t1418;18
mazowieckie;p³ocki;t1419;345
mazowieckie;p³oñski;t1420;19
mazowieckie;pruszkowski;t1421;20
mazowieckie;przasnyski;t1422;21
mazowieckie;przysuski;t1423;22
mazowieckie;pu³tuski;t1424;25
mazowieckie;radomski;t1425;26
mazowieckie;siedlecki;t1426;27
mazowieckie;sierpecki;t1427;28
mazowieckie;sochaczewski;t1428;30
mazowieckie;soko³owski;t1429;29
mazowieckie;szyd³owiecki;t1430;31
mazowieckie;warszawski zachodni;t1432;346
mazowieckie;wêgrowski;t1433;32
mazowieckie;wo³omiñski;t1434;40
mazowieckie;wyszkowski;t1435;41
mazowieckie;zwoleñski;t1436;349
mazowieckie;¿uromiñski;t1437;42
mazowieckie;¿yrardowski;t1438;131
mazowieckie;m. Ostro³êka;t1461;132
mazowieckie;m. P³ock;t1462;152
mazowieckie;m. Radom;t1463;130
mazowieckie;m. Siedlce;t1464;144
mazowieckie;m. st. Warszawa;t1465;133
opolskie;brzeski;t1601;127
opolskie;g³ubczycki;t1602;141
opolskie;kêdzierzyñsko-kozielski;t1603;150
opolskie;kluczborski;t1604;151
opolskie;krapkowicki;t1605;142
opolskie;namys³owski;t1606;145
opolskie;nyski;t1607;135
opolskie;oleski;t1608;136
opolskie;opolski;t1609;148
opolskie;prudnicki;t1610;149
opolskie;strzelecki;t1611;139
opolskie;m. Opole;t1661;140
podkarpackie;bieszczadzki;t1801;117
podkarpackie;brzozowski;t1802;359
podkarpackie;dêbicki;t1803;118
podkarpackie;jaros³awski;t1804;119
podkarpackie;jasielski;t1805;121
podkarpackie;kolbuszowski;t1806;120
podkarpackie;kroœnieñski;t1807;122
podkarpackie;le¿ajski;t1808;123
podkarpackie;lubaczowski;t1809;360
podkarpackie;³añcucki;t1810;124
podkarpackie;mielecki;t1811;125
podkarpackie;ni¿añski;t1812;1
podkarpackie;przemyski;t1813;343
podkarpackie;przeworski;t1814;2
podkarpackie;ropczycko-sêdziszowski;t1815;3
podkarpackie;rzeszowski;t1816;4
podkarpackie;sanocki;t1817;5
podkarpackie;stalowowolski;t1818;6
podkarpackie;strzy¿owski;t1819;7
podkarpackie;tarnobrzeski;t1820;8
podkarpackie;leski;t1821;9
podkarpackie;m. Krosno;t1861;10
podkarpackie;m. Przemyœl;t1862;12
podkarpackie;m. Rzeszów;t1863;11
podkarpackie;m. Tarnobrzeg;t1864;13
podlaskie;augustowski;t2001;167
podlaskie;bia³ostocki;t2002;168
podlaskie;bielski;t2003;178
podlaskie;grajewski;t2004;180
podlaskie;hajnowski;t2005;191
podlaskie;kolneñski;t2006;193
podlaskie;³om¿yñski;t2007;163
podlaskie;moniecki;t2008;169
podlaskie;sejneñski;t2009;362
podlaskie;siemiatycki;t2010;192
podlaskie;sokólski;t2011;173
podlaskie;suwalski;t2012;366
podlaskie;wysokomazowiecki;t2013;155
podlaskie;zambrowski;t2014;175
podlaskie;m. Bia³ystok;t2061;176
podlaskie;m. £om¿a;t2062;179
podlaskie;m. Suwa³ki;t2063;172
pomorskie;bytowski;t2201;215
pomorskie;chojnicki;t2202;203
pomorskie;cz³uchowski;t2203;204
pomorskie;gdañski;t2204;368
pomorskie;kartuski;t2205;210
pomorskie;koœcierski;t2206;195
pomorskie;kwidzyñski;t2207;275
pomorskie;lêborski;t2208;194
pomorskie;malborski;t2209;211
pomorskie;nowodworski;t2210;212
pomorskie;pucki;t2211;197
pomorskie;s³upski;t2212;198
pomorskie;starogardzki;t2213;208
pomorskie;tczewski;t2214;243
pomorskie;wejherowski;t2215;271
pomorskie;sztumski;t2216;272
pomorskie;m. Gdañsk;t2261;273
pomorskie;m. Gdynia;t2262;274
pomorskie;m. S³upsk;t2263;207
pomorskie;m. Sopot;t2264;369
œl¹skie;bêdziñski;t2401;252
œl¹skie;bielski;t2402;251
œl¹skie;cieszyñski;t2403;253
œl¹skie;czêstochowski;t2404;223
œl¹skie;gliwicki;t2405;278
œl¹skie;k³obucki;t2406;277
œl¹skie;lubliniecki;t2407;279
œl¹skie;miko³owski;t2408;280
œl¹skie;myszkowski;t2409;281
œl¹skie;pszczyñski;t2410;282
œl¹skie;raciborski;t2411;283
œl¹skie;rybnicki;t2412;284
œl¹skie;tarnogórski;t2413;285
œl¹skie;bieruñsko-lêdziñski;t2414;286
œl¹skie;wodzis³awski;t2415;287
œl¹skie;zawierciañski;t2416;288
œl¹skie;¿ywiecki;t2417;289
œl¹skie;m. Bielsko-Bia³a;t2461;292
œl¹skie;m. Bytom;t2462;293
œl¹skie;m. Chorzów;t2463;291
œl¹skie;m. Czêstochowa;t2464;295
œl¹skie;m. D¹browa Górnicza;t2465;294
œl¹skie;m. Gliwice;t2466;296
œl¹skie;m. Jastrzêbie-Zdrój;t2467;290
œl¹skie;m. Jaworzno;t2468;299
œl¹skie;m. Katowice;t2469;298
œl¹skie;m. Mys³owice;t2470;300
œl¹skie;m. Piekary Œl¹skie;t2471;297
œl¹skie;m. Ruda Œl¹ska;t2472;254
œl¹skie;m. Rybnik;t2473;301
œl¹skie;m. Siemianowice Œl¹skie;t2474;246
œl¹skie;m. Sosnowiec;t2475;276
œl¹skie;m. Œwiêtoch³owice;t2476;247
œl¹skie;m. Tychy;t2477;248
œl¹skie;m. Zabrze;t2478;249
œl¹skie;m. ¯ory;t2479;250
œwiêtokrzyskie;buski;t2601;156
œwiêtokrzyskie;jêdrzejowski;t2602;161
œwiêtokrzyskie;kazimierski;t2603;170
œwiêtokrzyskie;kielecki;t2604;171
œwiêtokrzyskie;konecki;t2605;202
œwiêtokrzyskie;opatowski;t2606;205
œwiêtokrzyskie;ostrowiecki;t2607;206
œwiêtokrzyskie;piñczowski;t2608;213
œwiêtokrzyskie;sandomierski;t2609;214
œwiêtokrzyskie;skar¿yski;t2610;209
œwiêtokrzyskie;starachowicki;t2611;200
œwiêtokrzyskie;staszowski;t2612;201
œwiêtokrzyskie;w³oszczowski;t2613;196
œwiêtokrzyskie;m. Kielce;t2661;199
warmiñsko-mazurskie;bartoszycki;t2801;258
warmiñsko-mazurskie;braniewski;t2802;259
warmiñsko-mazurskie;dzia³dowski;t2803;260
warmiñsko-mazurskie;elbl¹ski;t2804;224
warmiñsko-mazurskie;e³cki;t2805;225
warmiñsko-mazurskie;gi¿ycki;t2806;226
warmiñsko-mazurskie;i³awski;t2807;227
warmiñsko-mazurskie;kêtrzyñski;t2808;228
warmiñsko-mazurskie;lidzbarski;t2809;229
warmiñsko-mazurskie;mr¹gowski;t2810;230
warmiñsko-mazurskie;nidzicki;t2811;231
warmiñsko-mazurskie;nowomiejski;t2812;370
warmiñsko-mazurskie;olecki;t2813;232
warmiñsko-mazurskie;olsztyñski;t2814;233
warmiñsko-mazurskie;ostródzki;t2815;235
warmiñsko-mazurskie;piski;t2816;234
warmiñsko-mazurskie;szczycieñski;t2817;236
warmiñsko-mazurskie;go³dapski;t2818;372
warmiñsko-mazurskie;wêgorzewski;t2819;255
warmiñsko-mazurskie;m. Elbl¹g;t2861;256
warmiñsko-mazurskie;m. Olsztyn;t2862;257
wielkopolskie;chodzieski;t3001;128
wielkopolskie;czarnkowsko-trzcianecki;t3002;146
wielkopolskie;gnieŸnieñski;t3003;188
wielkopolskie;gostyñski;t3004;162
wielkopolskie;grodziski;t3005;367
wielkopolskie;jarociñski;t3006;189
wielkopolskie;kaliski;t3007;190
wielkopolskie;kêpiñski;t3008;165
wielkopolskie;kolski;t3009;166
wielkopolskie;koniñski;t3010;174
wielkopolskie;koœciañski;t3011;364
wielkopolskie;krotoszyñski;t3012;154
wielkopolskie;leszczyñski;t3013;137
wielkopolskie;miêdzychodzki;t3014;138
wielkopolskie;nowotomyski;t3015;134
wielkopolskie;obornicki;t3016;361
wielkopolskie;ostrowski;t3017;147
wielkopolskie;ostrzeszowski;t3018;129
wielkopolskie;pilski;t3019;143
wielkopolskie;pleszewski;t3020;363
wielkopolskie;poznañski;t3021;181
wielkopolskie;rawicki;t3022;184
wielkopolskie;s³upecki;t3023;186
wielkopolskie;szamotulski;t3024;185
wielkopolskie;œredzki;t3025;157
wielkopolskie;œremski;t3026;158
wielkopolskie;turecki;t3027;177
wielkopolskie;w¹growiecki;t3028;365
wielkopolskie;wolsztyñski;t3029;182
wielkopolskie;wrzesiñski;t3030;183
wielkopolskie;z³otowski;t3031;153
wielkopolskie;m. Kalisz;t3061;159
wielkopolskie;m. Konin;t3062;160
wielkopolskie;m. Leszno;t3063;164
wielkopolskie;m. Poznañ;t3064;187
zachodniopomorskie;bia³ogardzki;t3201;261
zachodniopomorskie;choszczeñski;t3202;262
zachodniopomorskie;drawski;t3203;264
zachodniopomorskie;goleniowski;t3204;263
zachodniopomorskie;gryficki;t3205;265
zachodniopomorskie;gryfiñski;t3206;266
zachodniopomorskie;kamieñski;t3207;373
zachodniopomorskie;ko³obrzeski;t3208;267
zachodniopomorskie;koszaliñski;t3209;222
zachodniopomorskie;myœliborski;t3210;302
zachodniopomorskie;policki;t3211;303
zachodniopomorskie;pyrzycki;t3212;371
zachodniopomorskie;s³awieñski;t3213;244
zachodniopomorskie;stargardzki;t3214;220
zachodniopomorskie;szczecinecki;t3215;216
zachodniopomorskie;œwidwiñski;t3216;217
zachodniopomorskie;wa³ecki;t3217;238
zachodniopomorskie;³obeski;t3218;239
zachodniopomorskie;m. Koszalin;t3261;268
zachodniopomorskie;m. Szczecin;t3262;269
zachodniopomorskie;m. Œwinoujœcie;t3263;240